{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
{'name': 'svchost.exe', 'pid': 4084, 'username': None}
{'name': 'httpd.exe', 'pid': 4124, 'username': None}
{'name': 'chrome.exe', 'pid': 4148, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'mysqld.exe', 'pid': 4152, 'username': None}
{'name': 'svchost.exe', 'pid': 4168, 'username': None}
{'name': 'MsMpEng.exe', 'pid': 4184, 'username': None}
{'name': 'igfxHK.exe', 'pid': 4204, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'jhi_service.exe', 'pid': 4224, 'username': None}
{'name': 'svchost.exe', 'pid': 4272, 'username': None}
{'name': 'svchost.exe', 'pid': 4296, 'username': None}
{'name': 'cpptools.exe', 'pid': 4512, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 4600, 'username': None}
{'name': 'SearchIndexer.exe', 'pid': 4824, 'username': None}
{'name': 'Code.exe', 'pid': 4940, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'mysqld.exe', 'pid': 5032, 'username': None}
{'name': 'conhost.exe', 'pid': 5040, 'username': None}
{'name': 'mysqld.exe', 'pid': 5100, 'username': None}
{'name': 'conhost.exe', 'pid': 5108, 'username': None}
{'name': 'svchost.exe', 'pid': 5452, 'username': None}
{'name': 'svchost.exe', 'pid': 5468, 'username': None}
{'name': 'SynTPHelper.exe', 'pid': 5600, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'Microsoft.Photos.exe', 'pid': 5784, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'rundll32.exe', 'pid': 5856, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 5948, 'username': None}
{'name': 'NisSrv.exe', 'pid': 6116, 'username': None}
{'name': 'Code.exe', 'pid': 6212, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 6216, 'username': None}
{'name': 'AMDRSServ.exe', 'pid': 6224, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'CodeHelper.exe', 'pid': 6284, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'RuntimeBroker.exe', 'pid': 6476, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'SynTPEnh.exe', 'pid': 6612, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'AUEPUF.exe', 'pid': 6640, 'username': None}
{'name': 'sihost.exe', 'pid': 6664, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'RuntimeBroker.exe', 'pid': 6704, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 6832, 'username': None}
{'name': 'svchost.exe', 'pid': 6860, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'YourPhone.exe', 'pid': 6912, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'SecurityHealthSystray.exe', 'pid': 6936, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'dasHost.exe', 'pid': 6988, 'username': None}
{'name': 'svchost.exe', 'pid': 7000, 'username': None}
{'name': 'explorer.exe', 'pid': 7056, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'mshta.exe', 'pid': 7080, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'googledrivesync.exe', 'pid': 7088, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 7144, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 7196, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'GoogleCrashHandler64.exe', 'pid': 7392, 'username': None}
{'name': 'StartMenuExperienceHost.exe', 'pid': 7516, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 7540, 'username': None}
{'name': 'RuntimeBroker.exe', 'pid': 7592, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'RuntimeBroker.exe', 'pid': 7652, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'SearchApp.exe', 'pid': 7712, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 7928, 'username': None}
{'name': 'RuntimeBroker.exe', 'pid': 8020, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'TiWorker.exe', 'pid': 8064, 'username': None}
{'name': 'RTFTrack.exe', 'pid': 8116, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'SecurityHealthService.exe', 'pid': 8200, 'username': None}
{'name': 'fmapp.exe', 'pid': 8308, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'CAudioFilterAgent64.exe', 'pid': 8396, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'googledrivesync.exe', 'pid': 8444, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'RadeonSoftware.exe', 'pid': 8528, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'cpptools-srv.exe', 'pid': 8624, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 8716, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'ShellExperienceHost.exe', 'pid': 8936, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'RuntimeBroker.exe', 'pid': 9100, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'cncmd.exe', 'pid': 9140, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'SearchApp.exe', 'pid': 9144, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 9228, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 9272, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 9452, 'username': None}
